well,Cq,sample_type,molecule,sample_name,tech_rep
A06,8.512979331,egg,NA,e2,1
A07,8.022461965,egg,NA,e2,2
A08,8.195606753,egg,NA,e2,3
B06,6.317409531,egg,NA,e3,1
B07,6.382040724,egg,NA,e3,2
B08,6.760734572,egg,NA,e3,3
C06,7.145871282,egg,NA,e4,1
C07,7.072871242,egg,NA,e4,2
C08,7.085605777,egg,NA,e4,3
D06,6.440051516,egg,NA,e9a,1
D07,6.435483255,egg,NA,e9a,2
D08,6.528271538,egg,NA,e9a,3
E06,7.231166318,egg,NA,e9b,1
E07,6.979454907,egg,NA,e9b,2
E08,7.229344265,egg,NA,e9b,3
F06,7.526065463,egg,NA,e9c,1
F07,7.310162231,egg,NA,e9c,2
F08,7.145358125,egg,NA,e9c,3
G06,10.9379964,no egg no ovary,NA,NENO1,1
G07,11.10489502,no egg no ovary,NA,NENO1,2
G08,11.13086078,no egg no ovary,NA,NENO1,3
H06,12.88212971,no egg no ovary,NA,NENO2,1
H07,13.35066759,no egg no ovary,NA,NENO2,2
H08,13.68513725,no egg no ovary,NA,NENO2,3
B03,4.007622406,standard,3875024757,st1,1
B04,4.088591267,standard,3875024757,st1,2
C03,8.597174017,standard,387502475.7,st2,1
C04,8.528833501,standard,387502475.7,st2,2
D03,12.50388976,standard,38750247.57,st3,1
D04,12.22903996,standard,38750247.57,st3,2
E03,15.97156949,standard,3875024.757,st4,1
E04,15.62689404,standard,3875024.757,st4,2
F03,19.56487927,standard,387502.4757,st5,1
F04,19.28702978,standard,387502.4757,st5,2
G03,22.60041173,standard,38750.24757,st6,1
G04,22.6336443,standard,38750.24757,st6,2
H03,26.56443257,standard,3875.024757,st7,1
H04,26.3965786,standard,3875.024757,st7,2
