total read,minus mRNAs,minus tRNAs,minus NOR RNAs,minus 5S RNAs,minus 21nt phasi loci RNAs,general siRNA,miRNA,tRNA,NOR RNA,5S rRNA,21nt phasiRNA,24nt phasiRNA,sample_ID
916544,907761,896224,884894,879280,877075,870774,8783,11537,11330,5614,2210,6321,SP5b
1031616,1020973,1007866,994594,988120,985412,978165,10643,13107,13272,6474,2712,7263,SP5c
2133241,2117851,2100096,2083825,2073971,2069096,2045521,15390,17755,16271,9854,4877,23646,BS1
389985,385011,378005,370538,368156,366895,362946,4974,7006,7467,2382,1262,3951,BS2
551321,548173,528775,511882,504408,502770,495075,3148,19398,16893,7474,1638,7699,BS4a
570030,567215,546208,529686,522755,521048,512159,2815,21007,16522,6931,1707,8925,BS4b
715023,710953,688668,672540,665162,663203,651401,4070,22285,16128,7378,1959,11908,BS6a
636751,632998,611086,596677,589733,588071,577784,3753,21912,14409,6944,1663,10326,BS6b
7527063,7179291,7161816,7123612,7108828,7043766,7042806,347772,17475,38204,14784,65062,960,B15
4547112,4302305,4291963,4270982,4260554,4218749,4218167,244807,10342,20981,10428,41805,582,B20
6064654,5760490,5746826,5722869,5710620,5656908,5656128,304164,13664,23957,12249,53712,781,B25
2803541,2609383,2590272,2551585,2546547,2521734,2518080,194158,19111,38687,5038,24813,3654,SD4
254941,250117,245690,239712,233203,232376,231572,4824,4427,5978,6509,829,806,E9a
318362,312464,306388,298643,291796,290908,289755,5898,6076,7745,6847,889,1157,E9b
358322,352338,345509,337468,330261,329287,327887,5984,6829,8041,7207,974,1403,E9c
1019386,1002191,973230,921735,897161,892805,892334,17195,28961,51495,24574,4356,473,E2
498054,489159,470390,454373,445072,442426,441975,8895,18769,16017,9301,2646,452,E3
1104761,1081641,1061469,1029261,1003792,997647,997089,23120,20172,32208,25469,6146,558,E4
3778186,3717946,3710322,3635019,3625892,3609466,3607007,60240,7624,75303,9127,16459,2464,OV1a
3653729,3593242,3585542,3512471,3503410,3487725,3485267,60487,7700,73071,9061,15716,2460,OV1b
2807214,2748938,2738611,2702265,2697166,2683284,2681756,58276,10327,36346,5099,13895,1530,OV2
31067184,28324458,28013978,26901479,26731301,26571102,26569248,2742726,310480,1112499,170178,160201,1854,root
34999754,29006623,28122972,25866821,25597727,25271375,25263859,5993131,883651,2256151,269094,326352,7516,ddm1
37860268,31146378,29977941,27006207,26655426,26357627,26346610,6713890,1168437,2971734,350781,297799,11017,ddm1_con
15107095,14422009,14143195,12269087,12112297,12057365,12051628,685086,278814,1874108,156790,54932,5738,drm2
11869815,11099263,10918683,9557901,9486032,9429130,9424454,770552,180580,1360782,71869,56903,4676,drm2_con
5612369,5538506,5457053,5330376,5321311,3399265,2978780,73863,81453,126677,9065,1928356,421899,an_pre
6595205,6487395,6436687,6242031,6230043,4193149,3701635,107810,50708,194656,11988,2043736,493729,an_mei
7293301,7187672,7094088,6759486,6737390,5389906,4937693,105629,93584,334602,22096,1351366,454074,an_mic
4641046,4571927,4386118,3932282,3914338,3685651,3669459,69119,185809,453836,17944,229396,16212,an_bi
2850134,2729244,2656230,2424536,2415978,2222757,2221538,120890,73014,231694,8558,193705,1225,ov_1st
3653542,3420729,3361839,3037140,3022354,2745624,2743627,232813,58890,324699,14786,277557,2012,ov_2nd
2492728,2345075,2266117,2102220,2094398,1968461,1965720,147653,78958,163897,7822,126341,2746,ov_3rd
5064236,4888248,4812567,4483787,4462276,4370658,4366544,175988,75681,328780,21511,91866,4124,ov_4th
5249609,4984070,4974386,4961540,4959096,4786106,4785705,265539,9684,12846,2444,175166,403,S3_1
5237639,5004606,4983282,4970897,4968481,4796332,4795981,233033,21324,12385,2416,174163,352,S3_2
5218458,4981438,4949135,4934256,4931767,4784739,4784361,237020,32303,14879,2489,148870,380,S3_3
5234008,4910821,4888237,4876847,4874805,3046026,3045444,323187,22584,11390,2042,1868608,583,S5_1
5277048,4946390,4933247,4923269,4921476,3008911,3006873,330658,13143,9978,1793,1953231,2051,S5_2
5277285,4994375,4976653,4970202,4968472,2933021,2932583,282910,17722,6451,1730,2078964,441,S5_3
4853127,4585243,4566148,4548584,4546969,3300351,3008214,267884,19095,17564,1615,1273828,295253,S7_1
4860492,4518983,4510474,4504299,4503220,3152784,2975818,341509,8509,6175,1079,1379577,178606,S7_2
4848132,4574878,4561208,4547248,4545809,3328237,3030565,273254,13670,13960,1439,1244223,301439,S7_3
15470015,14869403,14186355,12476071,12367853,12282401,12281484,600612,683048,1710284,108218,85459,917,em_dry
21163330,19469119,19181449,18126020,18045820,17893790,17892239,1694211,287670,1055429,80200,152033,1551,em_12h
16822329,15289401,15071454,14523147,14482997,14363156,14361822,1532928,217947,548307,40150,119847,1336,em_24h
11874742,11628278,11589890,11498331,11481222,11437344,11437088,246464,38388,91559,17109,43879,256,en_7DAF
20717130,20133922,20102952,20003160,19978417,19901805,19899481,583208,30970,99792,24743,76616,2327,em_7DAF
